rowid,kepid,koi_disposition,koi_pdisposition
1,10797460,CONFIRMED,CANDIDATE
2,10797460,CONFIRMED,CANDIDATE
3,10811496,FALSE POSITIVE,FALSE POSITIVE
4,10848459,FALSE POSITIVE,FALSE POSITIVE
5,10854555,CONFIRMED,CANDIDATE
6,10872983,CONFIRMED,CANDIDATE
7,10872983,CONFIRMED,CANDIDATE
8,10872983,CONFIRMED,CANDIDATE
9,6721123,FALSE POSITIVE,FALSE POSITIVE
10,10910878,CONFIRMED,CANDIDATE
11,11446443,CONFIRMED,CANDIDATE
12,10666592,CONFIRMED,CANDIDATE
13,6922244,CONFIRMED,CANDIDATE
14,10984090,CONFIRMED,CANDIDATE
15,10419211,FALSE POSITIVE,FALSE POSITIVE
16,10464078,FALSE POSITIVE,FALSE POSITIVE
17,10480982,FALSE POSITIVE,FALSE POSITIVE
18,10485250,FALSE POSITIVE,FALSE POSITIVE
19,10526549,CONFIRMED,CANDIDATE
20,10583066,CONFIRMED,CANDIDATE
21,10583180,FALSE POSITIVE,FALSE POSITIVE
22,10601284,CONFIRMED,CANDIDATE
23,10601284,CONFIRMED,CANDIDATE
24,10601284,CONFIRMED,CANDIDATE
25,2306756,FALSE POSITIVE,FALSE POSITIVE
26,10662202,CONFIRMED,CANDIDATE
27,10682541,CONFIRMED,CANDIDATE
28,11460018,CONFIRMED,CANDIDATE
29,11463211,FALSE POSITIVE,FALSE POSITIVE
30,11465813,FALSE POSITIVE,FALSE POSITIVE
31,11493732,FALSE POSITIVE,FALSE POSITIVE
32,11507101,CONFIRMED,CANDIDATE
33,10910878,CONFIRMED,CANDIDATE
34,10910878,CONFIRMED,CANDIDATE
35,10987985,CONFIRMED,CANDIDATE
36,11018648,CONFIRMED,CANDIDATE
37,11018648,CONFIRMED,CANDIDATE
38,11138155,CANDIDATE,CANDIDATE
39,11152159,FALSE POSITIVE,FALSE POSITIVE
40,11153539,CONFIRMED,CANDIDATE
41,11242721,FALSE POSITIVE,FALSE POSITIVE
42,9579641,CONFIRMED,CANDIDATE
43,11304958,CONFIRMED,CANDIDATE
44,11391957,CONFIRMED,CANDIDATE
45,11403044,CONFIRMED,CANDIDATE
46,11414511,CONFIRMED,CANDIDATE
47,11442465,FALSE POSITIVE,FALSE POSITIVE
48,12110942,CONFIRMED,CANDIDATE
49,12366084,CONFIRMED,CANDIDATE
50,12366084,CONFIRMED,CANDIDATE
51,12404086,CONFIRMED,CANDIDATE
52,8395660,CONFIRMED,CANDIDATE
53,9579641,CONFIRMED,CANDIDATE
54,11656840,FALSE POSITIVE,FALSE POSITIVE
55,11754553,CONFIRMED,CANDIDATE
56,11754553,CONFIRMED,CANDIDATE
57,11754553,CONFIRMED,CANDIDATE
58,11812062,CONFIRMED,CANDIDATE
59,11818800,CANDIDATE,CANDIDATE
60,11853255,CONFIRMED,CANDIDATE
61,11909839,FALSE POSITIVE,FALSE POSITIVE
62,11918099,CONFIRMED,CANDIDATE
63,11918099,CANDIDATE,CANDIDATE
64,9579641,CANDIDATE,CANDIDATE
65,11923270,CONFIRMED,CANDIDATE
66,11960862,CONFIRMED,CANDIDATE
67,12020329,CONFIRMED,CANDIDATE
68,12066335,CONFIRMED,CANDIDATE
69,12066335,CONFIRMED,CANDIDATE
70,12070811,CONFIRMED,CANDIDATE
71,8395660,CONFIRMED,CANDIDATE
72,3120431,FALSE POSITIVE,FALSE POSITIVE
73,3246984,CANDIDATE,CANDIDATE
74,3342970,CONFIRMED,CANDIDATE
75,3342970,CONFIRMED,CANDIDATE
76,12459725,FALSE POSITIVE,FALSE POSITIVE
77,12470844,CONFIRMED,CANDIDATE
78,12470844,CONFIRMED,CANDIDATE
79,12644822,CONFIRMED,CANDIDATE
80,2440757,FALSE POSITIVE,FALSE POSITIVE
81,2445129,FALSE POSITIVE,FALSE POSITIVE
82,2713049,CONFIRMED,CANDIDATE
83,3114167,CONFIRMED,CANDIDATE
84,3114661,FALSE POSITIVE,FALSE POSITIVE
85,3115833,CANDIDATE,CANDIDATE
86,4139816,CONFIRMED,CANDIDATE
87,4139816,CONFIRMED,CANDIDATE
88,8395660,CONFIRMED,CANDIDATE
89,4139816,CONFIRMED,CANDIDATE
90,4275191,CONFIRMED,CANDIDATE
91,4476123,CONFIRMED,CANDIDATE
92,3351888,CONFIRMED,CANDIDATE
93,3453214,CANDIDATE,CANDIDATE
94,3554600,FALSE POSITIVE,FALSE POSITIVE
95,3641726,CANDIDATE,CANDIDATE
96,3734868,FALSE POSITIVE,FALSE POSITIVE
97,3832474,CONFIRMED,CANDIDATE
98,8395660,CONFIRMED,CANDIDATE
99,3832474,CONFIRMED,CANDIDATE
100,3832474,CONFIRMED,CANDIDATE
101,3836375,FALSE POSITIVE,FALSE POSITIVE
102,3838486,FALSE POSITIVE,FALSE POSITIVE
